Action(행동)	Detail(세부내용)	BG(배경)	Face(표정)	Actor(주체)	BGM(브금)	SE(효과음)
Char	96_F | A					
T	며칠 전 전기 보옥이 귀환했다고 하던데 귀환 확인됐습니까?		Default	6_연강휘_염위		
	네, 어제 보옥이 귀환한 정보가 확인됐습니다.		Default	5_장로단		
	저희 같은 상황이 만들어질 경우가 있겠습니까?		Default	6_연강휘_염위		
	그럴 것 같진 않습니다. 저희 정보원이 현장을 직접 봤다고 합니다.		Default	5_장로단		
	다행입니다. 일단 계속해서 보옥 귀환 기록을 정리해주세요.		Default	6_연강휘_염위		
	알겠습니다.		Default	5_장로단		
	그리고 이건 뭔가요? 쿠렌 가의 문화 교류 제안?		Default	6_연강휘_염위		
	전임 염위 취임 때부터 매년마다 보내고 있습니다. 저희에게 이득이 될 게 없어 매번 거절했습니다.		Default	5_장로단		
	이득이 될 게 왜 없죠?		Default	6_연강휘_염위		
	저희는 이미 완벽한 전투 시스템으로 누구도 따라올 수 없는 경지에 이르렀습니다. 불의 시대의 주축이 되는 저희에게는…		Default	5_장로단		
	불의 시대는 무슨... (0.5)지금 언제적 이야기를 꺼내고 있는겁니까.		Default	6_연강휘_염위		
	…		Default	5_장로단		
	이 건은 진행하는 걸로 하겠습니다. 하련이와 하령이에게도 좋은 기회가 될 거에요.		Default	6_연강휘_염위		
	알겠습니다. 그런데 작은 따님, 하령 양에게는 적합하지 않겠습니다.		Default	5_장로단		
	능력도 몸도 약해서 괜히 나갔다가 망신만 당할 게 뻔합니다.		Default	5_장로단		
	말씀이 좀 지나치신 것 같습니다.		Default	6_연강휘_염위		
	그럼 지금 하령 양 상황에 누구랑 대련할 능력이 된다고 생각하십니까?		Default	5_장로단		
	… (0.5) 알겠습니다. 그럼 교류회는 하련이만 나가는 걸로 하겠습니다.		Default	6_연강휘_염위		
